question,reference_answer,user_answer,lang,score
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Malariya irindwa ukoresheje umusego no gukuraho amazi.,ki,4
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,ki,5
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,ki,5
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,ki,5
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,ki,5
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,ki,5
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,ki,5
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,ki,5
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,ki,5
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,ki,5
Ni izihe nzira nyamukuru zo kwirinda malariya?,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,Malariya irindwa uryamye mu buriri burimo umusego wica imibu no gukuraho amazi ahagaze.,ki,5
